event_id,image_id,timestamp,event_type,score,severity,explanation,action_hint,rule_used
evt_cfc31e0918,img_acfd1f3d60,2026-06-10T08:21:08,OVER_EXPOSED_IMAGE,233.91,WARNING,Brightness=233.9 > 210. Image is over-exposed; details may be washed out.,Reduce camera exposure or add shading to the scene.,brightness > 210
evt_14eb6d34c5,img_efd10c257e,2026-06-10T08:21:08,OVER_EXPOSED_IMAGE,233.91,WARNING,Brightness=233.9 > 210. Image is over-exposed; details may be washed out.,Reduce camera exposure or add shading to the scene.,brightness > 210
evt_89bae37785,img_93b217635f,2026-06-10T08:21:08,OVER_EXPOSED_IMAGE,233.91,WARNING,Brightness=233.9 > 210. Image is over-exposed; details may be washed out.,Reduce camera exposure or add shading to the scene.,brightness > 210
evt_1cacabce91,img_2194badfca,2026-06-10T08:21:08,OVER_EXPOSED_IMAGE,233.91,WARNING,Brightness=233.9 > 210. Image is over-exposed; details may be washed out.,Reduce camera exposure or add shading to the scene.,brightness > 210
evt_be2f343a72,img_477a7aa633,2026-06-10T08:21:08,OVER_EXPOSED_IMAGE,233.91,WARNING,Brightness=233.9 > 210. Image is over-exposed; details may be washed out.,Reduce camera exposure or add shading to the scene.,brightness > 210
evt_25f2ad3f67,img_7904080866,2026-06-10T08:21:08,OVER_EXPOSED_IMAGE,235.33,WARNING,Brightness=235.3 > 210. Image is over-exposed; details may be washed out.,Reduce camera exposure or add shading to the scene.,brightness > 210
evt_140c137c14,img_8df692c2a4,2026-06-10T08:21:11,OVER_EXPOSED_IMAGE,233.91,WARNING,Brightness=233.9 > 210. Image is over-exposed; details may be washed out.,Reduce camera exposure or add shading to the scene.,brightness > 210
evt_8c02741b8a,img_8df692c2a4,2026-06-10T08:21:11,MOTION_DETECTED,1189.0,WARNING,Motion score 1189 >= min_area 500.,Review captured image.,"diff_threshold=15, min_area=500, cooldown=0.0s"
evt_4c5e83478a,img_afe86fef69,2026-06-10T08:21:13,OVER_EXPOSED_IMAGE,233.91,WARNING,Brightness=233.9 > 210. Image is over-exposed; details may be washed out.,Reduce camera exposure or add shading to the scene.,brightness > 210
evt_2e255c1237,img_afe86fef69,2026-06-10T08:21:13,MOTION_DETECTED,1133.5,WARNING,Motion score 1134 >= min_area 500.,Review captured image.,"diff_threshold=40, min_area=500, cooldown=0.0s"
evt_b2afa71ecd,img_9f62bd9db3,2026-06-10T08:21:15,OVER_EXPOSED_IMAGE,233.91,WARNING,Brightness=233.9 > 210. Image is over-exposed; details may be washed out.,Reduce camera exposure or add shading to the scene.,brightness > 210
evt_f34ac81082,img_9f62bd9db3,2026-06-10T08:21:15,NO_SIGNIFICANT_MOTION,1162.0,NORMAL,Motion score 1162 < min_area 1500.,Reduce diff_threshold or min_area if motion is being missed.,"diff_threshold=25, min_area=1500, cooldown=0.0s"
evt_70dc1a088b,img_95d1446829,2026-06-10T08:21:17,OVER_EXPOSED_IMAGE,233.91,WARNING,Brightness=233.9 > 210. Image is over-exposed; details may be washed out.,Reduce camera exposure or add shading to the scene.,brightness > 210
evt_3a4e465434,img_95d1446829,2026-06-10T08:21:17,COOLDOWN_SKIP,1189.0,NORMAL,Cooldown active (5.0s): event suppressed.,Reduce cooldown if events are being lost.,"diff_threshold=15, min_area=500, cooldown=5.0s"
evt_b4f8ecede1,vid_e0520b8a60,2026-06-10T08:21:18,VIDEO_RECORDED,9,NORMAL,Recorded a short video clip with 9 frames.,Use the video clip for review or future frame analysis.,seconds=1
evt_06c071103a,img_efeae71b96,2026-06-10T08:26:27,BLURRY_IMAGE,126.22,WARNING,Blur score (Laplacian variance)=46.2 < 80. Image is not sharp enough.,"Stabilise the camera, clean the lens, or increase focus distance.",blur_score < 80
evt_3dd8a36c62,img_6c309e8ec5,2026-06-10T08:26:32,BLURRY_IMAGE,126.2,WARNING,Blur score (Laplacian variance)=46.1 < 80. Image is not sharp enough.,"Stabilise the camera, clean the lens, or increase focus distance.",blur_score < 80
evt_7dcc8faf6f,vid_405301dd96,2026-06-10T08:26:40,VIDEO_RECORDED,40,NORMAL,Recorded a short video clip with 40 frames.,Use the video clip for review or future frame analysis.,seconds=5
evt_5e306bd9fd,img_9eaa3c8755,2026-06-10T08:27:31,IMAGE_QUALITY_OK,91.47,NORMAL,"Brightness=91.5, blur_score=646.9. Image quality is acceptable.",Image is ready to be passed to Lab 7 object detection.,brightness 60-210 AND blur_score >= 80
evt_e0477e6bf8,img_1a9b962eb4,2026-06-10T08:45:10,LOW_LIGHT,44.47,WARNING,Brightness=44.5 < 60. Image is too dark for reliable AI inference.,Improve ambient lighting or increase camera exposure.,brightness < 60
evt_b536eb66d9,img_e21db035db,2026-06-10T08:45:14,LOW_LIGHT,44.7,WARNING,Brightness=44.7 < 60. Image is too dark for reliable AI inference.,Improve ambient lighting or increase camera exposure.,brightness < 60
evt_5846d09e55,vid_d9c99bd0eb,2026-06-10T08:45:27,VIDEO_RECORDED,43,NORMAL,Recorded a short video clip with 43 frames.,Use the video clip for review or future frame analysis.,seconds=5
evt_afeee6a38b,img_a6d567660a,2026-06-10T08:46:01,IMAGE_QUALITY_OK,147.79,NORMAL,"Brightness=147.8, blur_score=278.3. Image quality is acceptable.",Image is ready to be passed to Lab 7 object detection.,brightness 60-210 AND blur_score >= 80
evt_2ecaddf399,img_6f338da457,2026-06-10T08:46:03,IMAGE_QUALITY_OK,147.79,NORMAL,"Brightness=147.8, blur_score=278.3. Image quality is acceptable.",Image is ready to be passed to Lab 7 object detection.,brightness 60-210 AND blur_score >= 80
