image_id,device_id,timestamp,source_type,image_path,processed_path,width,height,brightness,blur_score,roi,threshold_val,canny_low,canny_high,processing_status,processing_time_ms,note
img_acfd1f3d60,simulated_cam,2026-06-10T08:21:08,demo_default,data\raw_images\img_acfd1f3d60.jpg,data\processed_images\img_acfd1f3d60_processed_advanced.jpg,640,360,233.91,2689.05,full,120,80,160,processed,44.67,test1_default_params
img_efd10c257e,simulated_cam,2026-06-10T08:21:08,demo_thresh80,data\raw_images\img_efd10c257e.jpg,data\processed_images\img_efd10c257e_processed_advanced.jpg,640,360,233.91,2689.05,full,80,80,160,processed,20.97,test2_thresh80
img_93b217635f,simulated_cam,2026-06-10T08:21:08,demo_thresh180,data\raw_images\img_93b217635f.jpg,data\processed_images\img_93b217635f_processed_advanced.jpg,640,360,233.91,2689.05,full,180,80,160,processed,25.33,test3_thresh180
img_2194badfca,simulated_cam,2026-06-10T08:21:08,demo_canny50,data\raw_images\img_2194badfca.jpg,data\processed_images\img_2194badfca_processed_advanced.jpg,640,360,233.91,2689.05,full,120,50,100,processed,19.25,test4_canny_50_100
img_477a7aa633,simulated_cam,2026-06-10T08:21:08,demo_canny150,data\raw_images\img_477a7aa633.jpg,data\processed_images\img_477a7aa633_processed_advanced.jpg,640,360,233.91,2689.05,full,120,150,250,processed,21.23,test5_canny_150_250
img_7904080866,simulated_cam,2026-06-10T08:21:08,demo_roi_narrow,data\raw_images\img_7904080866.jpg,data\processed_images\img_7904080866_processed_advanced.jpg,640,360,235.33,5525.22,"0,0,320,180",120,80,160,processed,16.05,test6_roi_0_0_320_180
img_8df692c2a4,camera:no_camera,2026-06-10T08:21:11,motion_capture_advanced,data\raw_images\img_8df692c2a4.jpg,data\processed_images\img_8df692c2a4_processed_advanced.jpg,640,360,233.91,2689.05,full,120,80,160,processed,25.86,"motion_score=1189.0, diff_threshold=15, min_area=500, cooldown=0.0"
img_afe86fef69,camera:no_camera,2026-06-10T08:21:13,motion_capture_advanced,data\raw_images\img_afe86fef69.jpg,data\processed_images\img_afe86fef69_processed_advanced.jpg,640,360,233.91,2689.05,full,120,80,160,processed,19.3,"motion_score=1133.5, diff_threshold=40, min_area=500, cooldown=0.0"
img_9f62bd9db3,camera:no_camera,2026-06-10T08:21:15,motion_capture_advanced,data\raw_images\img_9f62bd9db3.jpg,data\processed_images\img_9f62bd9db3_processed_advanced.jpg,640,360,233.91,2689.05,full,120,80,160,processed,28.16,"motion_score=1162.0, diff_threshold=25, min_area=1500, cooldown=0.0"
img_95d1446829,camera:no_camera,2026-06-10T08:21:17,motion_capture_advanced,data\raw_images\img_95d1446829.jpg,data\processed_images\img_95d1446829_processed_advanced.jpg,640,360,233.91,2689.05,full,120,80,160,processed,18.8,"motion_score=1189.0, diff_threshold=15, min_area=500, cooldown=5.0"
img_efeae71b96,camera:0,2026-06-10T08:26:27,camera,data\raw_images\img_efeae71b96.jpg,data\processed_images\img_efeae71b96_processed_advanced.jpg,640,480,126.22,46.19,full,120,80,160,processed,50.24,snapshot_advanced
img_6c309e8ec5,camera:0,2026-06-10T08:26:32,camera,data\raw_images\img_6c309e8ec5.jpg,data\processed_images\img_6c309e8ec5_processed_advanced.jpg,640,480,126.2,46.13,full,120,80,160,processed,32.57,snapshot_advanced
img_9eaa3c8755,upload_dashboard,2026-06-10T08:27:31,upload,data\raw_images\img_9eaa3c8755.jpg,data\processed_images\img_9eaa3c8755_processed_advanced.jpg,1365,686,91.47,646.85,full,120,80,160,processed,43.92,"filename=We,American,Vietkong.png"
img_1a9b962eb4,camera:0,2026-06-10T08:45:10,camera,data\raw_images\img_1a9b962eb4.jpg,data\processed_images\img_1a9b962eb4_processed_advanced.jpg,640,480,44.47,11.85,full,120,80,160,processed,31.2,snapshot_advanced
img_e21db035db,camera:0,2026-06-10T08:45:14,camera,data\raw_images\img_e21db035db.jpg,data\processed_images\img_e21db035db_processed_advanced.jpg,640,480,44.7,14.76,full,120,80,160,processed,24.76,snapshot_advanced
img_a6d567660a,upload_dashboard,2026-06-10T08:46:01,upload,data\raw_images\img_a6d567660a.jpg,data\processed_images\img_a6d567660a_processed_advanced.jpg,1920,2560,147.79,278.32,full,120,80,160,processed,133.27,filename=CRD TR.jpg
img_6f338da457,upload_dashboard,2026-06-10T08:46:03,upload,data\raw_images\img_6f338da457.jpg,data\processed_images\img_6f338da457_processed_advanced.jpg,1920,2560,147.79,278.32,full,120,80,160,processed,180.31,filename=CRD TR.jpg
img_a6afc383af,upload_dashboard,2026-06-10T09:19:01,upload,data\raw_images\img_a6afc383af.jpg,data\processed_images\img_a6afc383af_processed_advanced.jpg,660,376,87.6,444.28,full,120,80,160,processed,21.28,filename=8kEvVVf66lPd79IGk1m39hdv6b1UkYWf5Ihb9FLmtxHlHGUZ8HJuSmTmRuzsSeJOx_H5UdrTfk4chuntemW3Cw.webp
img_a4fc5eefec,upload_dashboard,2026-06-10T09:19:01,upload,data\raw_images\img_a4fc5eefec.jpg,data\processed_images\img_a4fc5eefec_processed_advanced.jpg,660,376,87.6,444.28,full,120,80,160,processed,25.77,filename=8kEvVVf66lPd79IGk1m39hdv6b1UkYWf5Ihb9FLmtxHlHGUZ8HJuSmTmRuzsSeJOx_H5UdrTfk4chuntemW3Cw.webp
img_f615cf9334,upload_dashboard,2026-06-10T09:19:01,upload,data\raw_images\img_f615cf9334.jpg,data\processed_images\img_f615cf9334_processed_advanced.jpg,660,376,87.6,444.28,full,120,80,160,processed,35.27,filename=8kEvVVf66lPd79IGk1m39hdv6b1UkYWf5Ihb9FLmtxHlHGUZ8HJuSmTmRuzsSeJOx_H5UdrTfk4chuntemW3Cw.webp
img_26518394f3,upload_dashboard,2026-06-10T09:19:01,upload,data\raw_images\img_26518394f3.jpg,data\processed_images\img_26518394f3_processed_advanced.jpg,660,376,87.6,444.28,full,120,80,160,processed,25.28,filename=8kEvVVf66lPd79IGk1m39hdv6b1UkYWf5Ihb9FLmtxHlHGUZ8HJuSmTmRuzsSeJOx_H5UdrTfk4chuntemW3Cw.webp
img_05515104ad,upload_dashboard,2026-06-10T09:19:01,upload,data\raw_images\img_05515104ad.jpg,data\processed_images\img_05515104ad_processed_advanced.jpg,660,376,87.6,444.28,full,120,80,160,processed,19.25,filename=8kEvVVf66lPd79IGk1m39hdv6b1UkYWf5Ihb9FLmtxHlHGUZ8HJuSmTmRuzsSeJOx_H5UdrTfk4chuntemW3Cw.webp
img_7052c87a8a,upload_dashboard,2026-06-10T09:19:01,upload,data\raw_images\img_7052c87a8a.jpg,data\processed_images\img_7052c87a8a_processed_advanced.jpg,660,376,87.6,444.28,full,120,80,160,processed,21.16,filename=8kEvVVf66lPd79IGk1m39hdv6b1UkYWf5Ihb9FLmtxHlHGUZ8HJuSmTmRuzsSeJOx_H5UdrTfk4chuntemW3Cw.webp
img_9387baab6f,upload_dashboard,2026-06-10T09:19:01,upload,data\raw_images\img_9387baab6f.jpg,data\processed_images\img_9387baab6f_processed_advanced.jpg,660,376,87.6,444.28,full,120,80,160,processed,19.85,filename=8kEvVVf66lPd79IGk1m39hdv6b1UkYWf5Ihb9FLmtxHlHGUZ8HJuSmTmRuzsSeJOx_H5UdrTfk4chuntemW3Cw.webp
